userId,num_hotels_reviewed,num_ratings
Nguyễn,160,160
Nguyen,142,142
Minh,131,131
Thi,123,123
Thanh,112,112
Anh,97,97
Kim,97,97
Ngoc,93,93
Linh,88,88
Lê,85,85
Trần,83,83
Le,81,81
Phuong,80,80
Huy,80,80
Trang,79,79
Hoàng,79,79
Thị,78,78
Tuan,74,74
Hoang,73,73
Thu,72,72
Mai,72,72
Tran,71,71
Quang,70,70
Duy,70,70
NGUYEN,69,69
Ngọc,67,67
Van,62,62
Trung,62,62
Phan,61,61
Thảo,60,60
Duc,58,58
Thao,58,58
Pham,57,57
Thuy,57,57
Phạm,57,57
Dung,56,56
Phương,52,52
Vu,52,52
Hung,51,51
Hà,49,49
THI,47,47
Long,47,47
An,47,47
Viet,45,45
Hong,45,45
Ha,45,45
Dương,45,45
Giang,44,44
KIM,44,44
Lan,44,44
My,43,43
David,43,43
Quynh,42,42
Hai,42,42
Huong,42,42
Nam,42,42
Vinh,40,40
nguyen,40,40
Vũ,39,39
Dinh,39,39
Vy,38,38
Võ,38,38
Trinh,38,38
Tuấn,37,37
Lee,37,37
Duong,37,37
Huynh,36,36
Hien,36,36
Nga,36,36
Truong,36,36
Hoa,35,35
Michael,34,34
John,34,34
Văn,34,34
LEE,34,34
Chi,33,33
Yen,33,33
Dang,33,33
Huỳnh,33,33
Vân,33,33
Hồng,33,33
NGUYỄN,33,33
Huyen,33,33
Thành,33,33
Quoc,32,32
Sang,32,32
Nhi,32,32
Yến,31,31
Đức,31,31
Do,31,31
Khanh,31,31
Hải,30,30
Đỗ,30,30
thi,30,30
Khánh,30,30
Nguyên,29,29
Bui,29,29
THANH,29,29
Thai,28,28
Xuan,28,28
TRAN,28,28
Daniel,28,28
Hang,28,28
Quỳnh,27,27
Bao,27,27
Dũng,27,27
Phong,27,27
Trương,26,26
Hanh,26,26
Bảo,26,26
Khoa,26,26
LE,26,26
nguyễn,26,26
Ly,26,26
Bùi,26,26
Peter,26,26
Hạnh,26,26
Như,25,25
Oanh,25,25
kim,25,25
Châu,25,25
Doan,25,25
Nhung,24,24
Gia,24,24
Thomas,24,24
Hieu,23,23
Binh,23,23
Son,23,23
Tien,23,23
Lâm,23,23
Ngân,23,23
Uyên,23,23
Hiền,23,23
Tam,23,23
Quốc,22,22
Alex,22,22
Hương,22,22
Andrew,22,22
Lam,22,22
Chau,22,22
Đặng,22,22
Ngô,22,22
Manh,22,22
Khang,21,21
Hiếu,21,21
Xuân,21,21
Tram,21,21
Phuc,21,21
Park,21,21
Cuong,21,21
Vo,21,21
Huu,21,21
Cao,21,21
Tri,21,21
Robert,21,21
Huyền,21,21
Thuỷ,21,21
Mỹ,20,20
James,20,20
Vi,20,20
Hao,20,20
thanh,20,20
Tiến,20,20
Mark,20,20
Dao,20,20
vu,20,20
Hồ,20,20
Han,20,20
PHAM,20,20
Ngan,20,20
Bình,19,19
Hoài,19,19
JI,19,19
Đinh,19,19
Tan,19,19
Uyen,19,19
Loc,19,19
pham,19,19
NGOC,19,19
Tùng,19,19
Truc,19,19
Paul,19,19
Hằng,19,19
Steven,19,19
Mạnh,18,18
Luu,18,18
VAN,18,18
Wing,18,18
Anna,18,18
Dong,18,18
Đào,18,18
Tu,18,18
Thắng,18,18
Sơn,18,18
Loan,17,17
Tuyen,17,17
Tú,17,17
tran,17,17
Hữu,17,17
Tâm,17,17
Tấn,17,17
Ka,17,17
Trúc,17,17
Trong,17,17
Dieu,17,17
Young,17,17
Richard,17,17
Kevin,17,17
Nhật,17,17
Phi,16,16
Toan,16,16
Ngo,16,16
Thư,16,16
Hưng,16,16
PARK,16,16
LÊ,16,16
Nhu,16,16
Việt,16,16
Ho,16,16
Thiên,15,15
Trâm,15,15
Phước,15,15
Hùng,15,15
JAE,15,15
Thái,15,15
Chu,15,15
Lien,15,15
Thien,15,15
Stephen,15,15
Ji,15,15
Hue,15,15
CHOI,15,15
Tung,15,15
Nguyệt,15,15
van,14,14
lê,14,14
Tiên,14,14
Đoàn,14,14
Jason,14,14
Ánh,14,14
Hoai,14,14
Nhat,14,14
Dat,14,14
mai,14,14
linh,14,14
Kiều,14,14
le,14,14
Bích,14,14
Eun,14,14
Phung,14,14
Phu,14,14
Matthew,13,13
Phúc,13,13
Christopher,13,13
Tuyet,13,13
MINH,13,13
Wai,13,13
Duyen,13,13
EUN,13,13
Thang,13,13
Công,13,13
TRẦN,13,13
Kien,13,13
Thuan,13,13
Trường,13,13
Thùy,13,13
lee,13,13
Duyên,13,13
Trịnh,12,12
Quan,12,12
minh,12,12
JEONG,12,12
Nhân,12,12
Chris,12,12
anh,12,12
Tuyền,12,12
Michelle,12,12
Hậu,12,12
Martin,12,12
trang,12,12
HO,12,12
Trọng,12,12
Chun,12,12
Quý,12,12
Kieu,12,12
Nguyet,12,12
Đăng,12,12
ANH,12,12
Anthony,12,12
thuy,12,12
TAN,12,12
Thoa,12,12
Đạt,12,12
Tai,12,12
Hyun,12,12
Justin,12,12
Bich,12,12
Thiện,11,11
Nhan,11,11
choi,11,11
Jack,11,11
HOANG,11,11
THUY,11,11
ha,11,11
hong,11,11
Thủy,11,11
Khuong,11,11
Thúy,11,11
Hoi,11,11
Vuong,11,11
Đình,11,11
Elena,11,11
Min,11,11
Tuong,11,11
Chung,11,11
Hui,11,11
Mi,11,11
Tuyết,11,11
Quân,10,10
phuong,10,10
sang,10,10
ngoc,10,10
Chang,10,10
Sarah,10,10
Vương,10,10
Patrick,10,10
Sandra,10,10
Chí,10,10
HA,10,10
Trà,10,10
Diêm,10,10
Thuận,10,10
Lisa,10,10
Nghia,10,10
Quy,10,10
Thuý,10,10
Jiwon,9,9
Swee,9,9
hoang,9,9
Trân,9,9
Jin,9,9
Man,9,9
Ta,9,9
thu,9,9
Olga,9,9
Diệu,9,9
Lý,9,9
Patricia,9,9
Eric,9,9
Lim,9,9
Jenny,9,9
Pui,9,9
To,9,9
Thuỳ,9,9
Nghĩa,9,9
Dan,9,9
JUNG,9,9
jin,9,9
DINH,9,9
trần,9,9
Jang,9,9
Quyen,9,9
Lai,9,9
The,9,9
Chinh,9,9
Cường,9,9
Roman,9,9
Phuoc,9,9
PHUONG,9,9
Trí,9,9
Cong,9,9
Thy,9,9
Wendy,9,9
DANG,9,9
Quyên,9,9
TRUONG,8,8
Tài,8,8
Phùng,8,8
Thông,8,8
david,8,8
TAE,8,8
NGỌC,8,8
Yu,8,8
Sun,8,8
TIEN,8,8
Phát,8,8
NGO,8,8
Li,8,8
Ann,8,8
Julia,8,8
Hoan,8,8
Yong,8,8
MAI,8,8
Ana,8,8
QUANG,8,8
john,8,8
Phú,8,8
SANG,8,8
Ting,8,8
PHAN,8,8
Ben,8,8
Bach,8,8
Alice,8,8
Tony,8,8
THU,8,8
Emma,8,8
Anton,8,8
Philip,8,8
Jessica,8,8
Jung,8,8
Tân,8,8
Julie,8,8
JUN,8,8
Maria,8,8
VU,8,8
Vincent,8,8
Sung,8,8
KANG,8,8
Kiet,8,8
hieu,8,8
Ivan,8,8
Sharon,8,8
William,8,8
Định,7,7
Keith,7,7
Chen,7,7
Andrea,7,7
Diệp,7,7
PHẠM,7,7
Su,7,7
Jennifer,7,7
Tin,7,7
Francis,7,7
Andreas,7,7
HUNG,7,7
SUJIN,7,7
SO,7,7
HAN,7,7
Woo,7,7
Linda,7,7
Ching,7,7
Kelly,7,7
CHUN,7,7
HWANG,7,7
Helen,7,7
quang,7,7
Huệ,7,7
Lương,7,7
Diem,7,7
Gabriel,7,7
Bá,7,7
Choi,7,7
hyunjin,7,7
Charles,7,7
TRUNG,7,7
Thach,7,7
Eunji,7,7
IN,7,7
Jean,7,7
Kai,7,7
TRANG,7,7
Thịnh,7,7
young,7,7
Alexander,7,7
Tsz,7,7
hang,7,7
Yee,7,7
Jan,7,7
DONG,7,7
DO,7,7
Elizabeth,7,7
song,7,7
Luong,7,7
Ekaterina,7,7
an,7,7
Moon,7,7
WAI,7,7
huy,7,7
Cẩm,7,7
SEONG,7,7
Liên,7,7
Jieun,7,7
Nina,7,7
Khoi,7,7
Phat,7,7
HAI,7,7
Karen,7,7
Frank,7,7
Diep,7,7
Toàn,7,7
SUNG,7,7
HYE,6,6
NHON,6,6
Soyeon,6,6
HUU,6,6
Hoàn,6,6
Diễm,6,6
peter,6,6
BUI,6,6
hung,6,6
Jo,6,6
Phụng,6,6
tu,6,6
Rebecca,6,6
Nghi,6,6
Phillip,6,6
Tracy,6,6
Jonathan,6,6
park,6,6
Jeffrey,6,6
Jihye,6,6
seung,6,6
Ksenia,6,6
Ahreum,6,6
Lưu,6,6
Kiên,6,6
lan,6,6
Huan,6,6
Kelvin,6,6
DAT,6,6
LIEN,6,6
Erin,6,6
HONG,6,6
Ling,6,6
YANG,6,6
Kyung,6,6
Nick,6,6
ahmed,6,6
May,6,6
Joo,6,6
QUOC,6,6
thao,6,6
Yuki,6,6
Aleksei,6,6
khanh,6,6
ngọc,6,6
JIWON,6,6
Seung,6,6
Artem,6,6
June,6,6
JINWOO,6,6
EUNMI,6,6
Neil,6,6
SHIN,6,6
Hiệp,6,6
Sean,6,6
Jun,6,6
Phượng,6,6
Muhammad,6,6
jihyun,6,6
Dylan,6,6
Erik,6,6
Hòa,6,6
Kiệt,6,6
OH,6,6
Sam,6,6
Brian,6,6
Khương,6,6
YOUNG,6,6
Emily,6,6
Jiyoung,6,6
Tiffany,6,6
Tạ,6,6
hiroshi,6,6
JIEUN,6,6
Wang,6,6
NAM,6,6
Chan,6,6
Jae,6,6
EUNYOUNG,6,6
Annie,6,6
Ty,6,6
SEUNG,6,6
duy,6,6
Hanna,6,6
Julian,6,6
Jimmy,6,6
Jeong,6,6
Marie,6,6
Ju,6,6
DUY,6,6
XUAN,6,6
Ai,6,6
nhu,6,6
Tina,6,6
Mina,6,6
Danh,6,6
Thuong,6,6
Di,6,6
son,6,6
quynh,6,6
VO,6,6
Yun,6,6
Ian,6,6
min,6,6
yu,6,6
PHUOC,6,6
Hye,6,6
Henry,6,6
PHUNG,6,6
Nhut,6,6
LAM,6,6
HOA,6,6
H,6,6
Hau,6,6
Jay,6,6
JIHYE,6,6
trâm,5,5
ANNA,5,5
Scott,5,5
BICH,5,5
Cho,5,5
Steve,5,5
Amanda,5,5
Sze,5,5
Danielle,5,5
tuan,5,5
Song,5,5
Trevor,5,5
nam,5,5
Celine,5,5
Khải,5,5
SOHEE,5,5
Rose,5,5
Jordan,5,5
duc,5,5
chang,5,5
SOO,5,5
võ,5,5
Lộc,5,5
Du,5,5
KWANG,5,5
Aleksandr,5,5
Thế,5,5
DUC,5,5
kwon,5,5
Tracey,5,5
Melissa,5,5
LI,5,5
Trieu,5,5
Ng,5,5
Hwang,5,5
Melanie,5,5
viet,5,5
Hường,5,5
Jessie,5,5
BAO,5,5
Hy,5,5
MI,5,5
Tuyến,5,5
So,5,5
SU,5,5
Cam,5,5
DOAN,5,5
Mei,5,5
Chong,5,5
QUYNH,5,5
SEULGI,5,5
vy,5,5
CHONG,5,5
Nicole,5,5
Amy,5,5
Edward,5,5
THẢO,5,5
Cindy,5,5
trung,5,5
Simon,5,5
huynh,5,5
tien,5,5
Tra,5,5
HYUN,5,5
Irene,5,5
Thong,5,5
uyen,5,5
Stewart,5,5
Alan,5,5
phuc,5,5
Tín,5,5
minji,5,5
JANG,5,5
jieun,5,5
Yuk,5,5
YUJIN,5,5
Khai,5,5
Adam,5,5
Yuen,5,5
HUY,5,5
Bang,5,5
tan,5,5
my,5,5
Bee,5,5
EUNKYUNG,5,5
hai,5,5
EUNA,5,5
Na,5,5
TAM,5,5
MIN,5,5
Maxim,5,5
DAHYE,5,5
Rachel,5,5
SUN,5,5
Olivia,5,5
MINJI,5,5
Louis,5,5
Sinh,5,5
Pavel,5,5
Chiến,5,5
LUONG,5,5
christopher,5,5
vo,5,5
Sin,5,5
