Hotel ID,Hotel Name,Average Rating,Predicted Rating,Avg Normalized Hybrid Score,Number of Visitors,Times Recommended
28_24,InterContinental Residences Nha Trang,9.94,9.6,0.94,7.0,4095
10_7,"Biệt thự 240 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Biệt thự hồ bơi riêng Cam Ranh Mystery Villa & Spa)",8.91,9.67,3.2,11.0,4029
33_21,Khách sạn Long Hồ (Long Hồ Hotel),9.2,9.69,0.45,6.0,3832
17_11,Biệt Thự Venity Nha Trang (Venity Villa Nha Trang),9.59,9.7,8.49,39.0,3718
16_15,HANZ Muong Thanh Vien Trieu Condo Hotel,10.0,9.65,2.95,10.0,3297
8_27,Vinpearl Luxury Nha Trang,10.0,9.48,0.02,5.0,1826
39_17,Gold Coast Hotel Nha Trang,9.09,9.41,0.69,7.0,1778
9_14,The Pool Villa Cam Ranh - All Private Pool Villas,8.32,9.53,0.03,5.0,1354
12_7,Gran Meliá Nha Trang,9.49,9.3,8.69,70.0,1185
5_1,Nomad Apartment,9.43,9.18,3.14,14.0,878
13_26,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport),9.2,9.34,2.02,10.0,836
2_3,ELITE HOTEL NHA TRANG,9.82,9.23,3.89,17.0,651
4_2,The Sea Luxury Nha Trang Apartment,9.43,9.23,6.84,37.0,471
15_29,"Căn hộ 65 m² 1 phòng ngủ, 1 phòng tắm riêng ở Xương Huân (Coastal House Nha Trang)",9.36,9.14,0.02,5.0,407
18_5,Thời Bình Hotel,9.35,9.09,1.68,8.0,389
43_9,Khách sạn Gibson Nha Trang (GIBSON HOTEL NHA TRANG),9.43,9.04,4.5,21.0,305
2_6,Golden Nha Trang Hotel,9.7,9.04,2.13,12.0,258
15_12,Hà Nhung Hotel Nha Trang,9.05,8.97,4.66,20.0,255
4_19,PANAMA Nha Trang Hotel,9.27,9.27,8.95,57.0,206
6_14,CAM RANH NHA TRANG SEAVIEW RESORT,9.12,9.55,7.95,30.0,203
29_14,Moonlight Bay Panorama Ocean View,9.68,9.25,9.45,74.0,184
18_4,Rosemary Home @ Bai Dai Beach Nha Trang,9.18,9.39,5.93,22.0,167
18_13,The Arena Cam Ranh Beach seaside,8.65,9.06,0.92,8.0,162
1_14,Khu nghỉ dưỡng bãi biển Meliá Vinpearl Cam Ranh (Meliá Vinpearl Cam Ranh Beach Resort),9.28,8.87,9.39,116.0,139
3_24,Oasis Nha Trang Hotel,9.16,9.28,5.4,19.0,128
