hotelID,Hotel_Name
10_1,Biệt thự Valentine Nha Trang B8 (Valentine villa Nha Trang B8)
10_12,Sata Hotel
10_13,Gold Coast Nha Trang
10_14,HANZ Condo Hotel Panorama
10_18,Căn hộ cao cấp view biển do Anh quản lý (Luxury Seaview Apartments managed by Anh)
10_19,Khu nghỉ dưỡng Cam Ranh (Resort Cam Ranh )
10_2,InterContinental Nha Trang
10_22,Khách sạn Sunrise Nha Trang Beach Hotel & Spa (Sunrise Nha Trang Beach Hotel & Spa)
10_30,"Chung cư 70 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (snail ocean view apartmen hotel)"
10_7,"Biệt thự 240 m² 3 phòng ngủ, 4 phòng tắm riêng ở Biển Bãi Dài (Biệt thự hồ bơi riêng Cam Ranh Mystery Villa & Spa)"
10_8,"Căn hộ 38 m² 1 phòng ngủ, 1 phòng tắm riêng ở Biển Bãi Dài (Arena Cam Ranh Apartment near Cam Ranh Airport)"
11_11,Citadines Bayfront Nha Trang
11_17,Khách sạn LeMore Nha Trang (LeMore Hotel Nha Trang)
11_19,"Căn hộ 38 m² 1 phòng ngủ, 1 phòng tắm riêng ở Biển Bãi Dài (BLISS Seafront Apartment near Cam Ranh Airport)"
11_21,La Paloma Villa
11_25,Six Senses Ninh Vân Bay (Six Senses Ninh Van Bay)
11_27,Khách Sạn Crown Nguyên Hoàng (Crown Nguyen Hoang Hotel)
11_30,"Căn hộ 42 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hải (Luxury apartment sea view 28 floor Scenia Bay)"
11_6,"Căn hộ 45 m² 1 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hải (Scenia Bay Apartment for rent)"
12_1,Like Family Hotel
12_12,Lumina Villas Cam Ranh
12_16,Seascape Villas in Long Beach Cam Ranh
12_17,The Signature Hotel Nha Trang
12_2,The Empyrean Nha Trang
12_20,Khách sạn Bình An (Binh An Hotel Nha Trang)
12_21,Arena Seaview Cam Ranh Beach Resort Nha Trang Best Location Near The Airport
12_22,Khách Sạn Mojzo (Mojzo Inn)
12_24,Panorama Nha Trang Condotel
12_29,"Nhà riêng 60 m² 2 phòng ngủ, 2 phòng tắm riêng ở Tân Lập (Lovely 2-bedroom apartment in city center .)"
12_3,FELIZ VILLA NHA TRANG
12_30,Aura Panorama Nha Trang
12_5,Khách sạn Nice Swan (Nice Swan Hotel Nha Trang)
12_7,Gran Meliá Nha Trang
12_8,The Moon Villas (The Trang Villas)
12_9,The View Hotel
13_10,L’Alya Vịnh Ninh Vân (L'Alya Ninh Van Bay)
13_17,Khu nghỉ dưỡng và Spa Cam Ranh Riviera Beach - Trọn gói (Cam Ranh Riviera Beach Resort and Spa - All Inclusive)
13_21,Muong Thanh Nha Trang Hotel & Apartment
13_23,"Căn hộ 500 m² 10 phòng ngủ, 1 phòng tắm riêng ở Vĩnh Hòa (Nhà Nghỉ Thúy Vy)"
13_24,Skyline Seaview Cam Ranh Khanh Hoa
13_25,"Nhà riêng 72 m² 2 phòng ngủ, 2 phòng tắm riêng ở Vĩnh Phước (Partial Sea View : Two Bedroom & Washing Machine)"
13_26,Nhà Rosemary Bãi Dài - Căn hộ hướng biển gần sân bay Cam Ranh (Rosemary Home at Bai Dai Beach Nha Trang - Seaview Condo near Int't Cam Ranh Airport)
13_27,Khách sạn Asteria Comodo Nha Trang (Asteria Comodo Nha Trang Hotel)
